key;value;topic;partition;offset;timestamp;timestampType
;"{t_measurement"": 1717233233.2512069, ""t_report"": 1717233223.2512076, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 61}""";mytopic;0;0;2024-06-01T11:13:53.251+02:00;0
;"{t_measurement"": 1717233234.3059897, ""t_report"": 1717233224.3059907, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;1;2024-06-01T11:13:54.306+02:00;0
;"{t_measurement"": 1717233244.3198867, ""t_report"": 1717233234.319892, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 63}""";mytopic;0;2;2024-06-01T11:14:04.320+02:00;0
;"{t_measurement"": 1717233244.3252048, ""t_report"": 1717233234.3252056, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 13}""";mytopic;0;3;2024-06-01T11:14:04.325+02:00;0
;"{t_measurement"": 1717233244.3286254, ""t_report"": 1717233234.3286262, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 80}""";mytopic;0;4;2024-06-01T11:14:04.328+02:00;0
;"{t_measurement"": 1717233264.3494859, ""t_report"": 1717233254.3494868, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 70}""";mytopic;0;5;2024-06-01T11:14:24.349+02:00;0
;"{t_measurement"": 1717233264.3540835, ""t_report"": 1717233254.3540845, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 83}""";mytopic;0;6;2024-06-01T11:14:24.354+02:00;0
;"{t_measurement"": 1717233264.356952, ""t_report"": 1717233254.3569527, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 0}""";mytopic;0;7;2024-06-01T11:14:24.356+02:00;0
;"{t_measurement"": 1717233274.3701382, ""t_report"": 1717233264.3701398, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 51}""";mytopic;0;8;2024-06-01T11:14:34.370+02:00;0
;"{t_measurement"": 1717233274.3756337, ""t_report"": 1717233264.3756344, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 20}""";mytopic;0;9;2024-06-01T11:14:34.375+02:00;0
;"{t_measurement"": 1717234294.4419312, ""t_report"": 1717234284.4419317, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 53}""";mytopic;0;10;2024-06-01T11:31:34.441+02:00;0
;"{t_measurement"": 1717234294.4871128, ""t_report"": 1717234284.4871135, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 86}""";mytopic;0;11;2024-06-01T11:31:34.487+02:00;0
;"{t_measurement"": 1717234294.4896572, ""t_report"": 1717234284.4896576, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 5}""";mytopic;0;12;2024-06-01T11:31:34.489+02:00;0
;"{t_measurement"": 1717234304.5019307, ""t_report"": 1717234294.5019314, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 18}""";mytopic;0;13;2024-06-01T11:31:44.501+02:00;0
;"{t_measurement"": 1717234304.5053024, ""t_report"": 1717234294.5053031, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 85}""";mytopic;0;14;2024-06-01T11:31:44.505+02:00;0
;"{t_measurement"": 1717234304.507279, ""t_report"": 1717234294.5072794, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 4}""";mytopic;0;15;2024-06-01T11:31:44.507+02:00;0
;"{t_measurement"": 1717234314.5151858, ""t_report"": 1717234304.5151873, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 60}""";mytopic;0;16;2024-06-01T11:31:54.515+02:00;0
;"{t_measurement"": 1717234314.5188222, ""t_report"": 1717234304.518823, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 83}""";mytopic;0;17;2024-06-01T11:31:54.518+02:00;0
;"{t_measurement"": 1717234324.5309634, ""t_report"": 1717234314.5309641, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 53}""";mytopic;0;18;2024-06-01T11:32:04.531+02:00;0
;"{t_measurement"": 1717234324.5342472, ""t_report"": 1717234314.5342476, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 0}""";mytopic;0;19;2024-06-01T11:32:04.534+02:00;0
;"{t_measurement"": 1717234334.5465152, ""t_report"": 1717234324.5465162, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 15}""";mytopic;0;20;2024-06-01T11:32:14.546+02:00;0
;"{t_measurement"": 1717234334.550184, ""t_report"": 1717234324.5501842, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 3}""";mytopic;0;21;2024-06-01T11:32:14.550+02:00;0
;"{t_measurement"": 1717234344.5622633, ""t_report"": 1717234334.5622647, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 57}""";mytopic;0;22;2024-06-01T11:32:24.562+02:00;0
;"{t_measurement"": 1717234374.5868587, ""t_report"": 1717234364.5868595, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 52}""";mytopic;0;23;2024-06-01T11:32:54.586+02:00;0
;"{t_measurement"": 1717234374.5893443, ""t_report"": 1717234364.5893447, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 18}""";mytopic;0;24;2024-06-01T11:32:54.589+02:00;0
;"{t_measurement"": 1717234384.6012323, ""t_report"": 1717234374.6012335, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 55}""";mytopic;0;25;2024-06-01T11:33:04.601+02:00;0
;"{t_measurement"": 1717234384.6049793, ""t_report"": 1717234374.6049798, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;26;2024-06-01T11:33:04.605+02:00;0
;"{t_measurement"": 1717234394.6126997, ""t_report"": 1717234384.6127005, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 6}""";mytopic;0;27;2024-06-01T11:33:14.612+02:00;0
;"{t_measurement"": 1717234404.6226723, ""t_report"": 1717234394.6226735, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 86}""";mytopic;0;28;2024-06-01T11:33:24.622+02:00;0
;"{t_measurement"": 1717234404.6251826, ""t_report"": 1717234394.6251833, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 2}""";mytopic;0;29;2024-06-01T11:33:24.625+02:00;0
;"{t_measurement"": 1717234414.6369715, ""t_report"": 1717234404.6369722, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 64}""";mytopic;0;30;2024-06-01T11:33:34.637+02:00;0
;"{t_measurement"": 1717234414.6424294, ""t_report"": 1717234404.64243, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 17}""";mytopic;0;31;2024-06-01T11:33:34.642+02:00;0
;"{t_measurement"": 1717234424.6552343, ""t_report"": 1717234414.655235, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 50}""";mytopic;0;32;2024-06-01T11:33:44.655+02:00;0
;"{t_measurement"": 1717234424.6583655, ""t_report"": 1717234414.6583662, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 17}""";mytopic;0;33;2024-06-01T11:33:44.658+02:00;0
;"{t_measurement"": 1717234424.6608415, ""t_report"": 1717234414.660842, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 0}""";mytopic;0;34;2024-06-01T11:33:44.660+02:00;0
;"{t_measurement"": 1717234434.6725223, ""t_report"": 1717234424.6725237, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 63}""";mytopic;0;35;2024-06-01T11:33:54.672+02:00;0
;"{t_measurement"": 1717234434.6761792, ""t_report"": 1717234424.6761796, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 18}""";mytopic;0;36;2024-06-01T11:33:54.676+02:00;0
;"{t_measurement"": 1717234434.6777515, ""t_report"": 1717234424.6777518, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 82}""";mytopic;0;37;2024-06-01T11:33:54.677+02:00;0
;"{t_measurement"": 1717234434.6792274, ""t_report"": 1717234424.6792278, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 9}""";mytopic;0;38;2024-06-01T11:33:54.679+02:00;0
;"{t_measurement"": 1717234444.6850717, ""t_report"": 1717234434.6850724, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 88}""";mytopic;0;39;2024-06-01T11:34:04.685+02:00;0
;"{t_measurement"": 1717234444.687996, ""t_report"": 1717234434.6879966, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 4}""";mytopic;0;40;2024-06-01T11:34:04.688+02:00;0
;"{t_measurement"": 1717234454.6999245, ""t_report"": 1717234444.6999257, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 5}""";mytopic;0;41;2024-06-01T11:34:14.700+02:00;0
;"{t_measurement"": 1717234464.712359, ""t_report"": 1717234454.7123601, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 60}""";mytopic;0;42;2024-06-01T11:34:24.712+02:00;0
;"{t_measurement"": 1717234464.7156417, ""t_report"": 1717234454.7156425, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 20}""";mytopic;0;43;2024-06-01T11:34:24.715+02:00;0
;"{t_measurement"": 1717234464.7178118, ""t_report"": 1717234454.7178123, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 89}""";mytopic;0;44;2024-06-01T11:34:24.717+02:00;0
;"{t_measurement"": 1717234474.729547, ""t_report"": 1717234464.729548, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 51}""";mytopic;0;45;2024-06-01T11:34:34.729+02:00;0
;"{t_measurement"": 1717234474.7385907, ""t_report"": 1717234464.7385914, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 17}""";mytopic;0;46;2024-06-01T11:34:34.738+02:00;0
;"{t_measurement"": 1717234474.7436259, ""t_report"": 1717234464.743627, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 5}""";mytopic;0;47;2024-06-01T11:34:34.743+02:00;0
;"{t_measurement"": 1717234484.7523625, ""t_report"": 1717234474.7523632, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 6}""";mytopic;0;48;2024-06-01T11:34:44.752+02:00;0
;"{t_measurement"": 1717234494.762417, ""t_report"": 1717234484.762418, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 65}""";mytopic;0;49;2024-06-01T11:34:54.762+02:00;0
;"{t_measurement"": 1717234494.7658052, ""t_report"": 1717234484.7658055, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 7}""";mytopic;0;50;2024-06-01T11:34:54.765+02:00;0
;"{t_measurement"": 1717234504.7776566, ""t_report"": 1717234494.7776575, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 53}""";mytopic;0;51;2024-06-01T11:35:04.777+02:00;0
;"{t_measurement"": 1717234504.7808783, ""t_report"": 1717234494.780879, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 18}""";mytopic;0;52;2024-06-01T11:35:04.780+02:00;0
;"{t_measurement"": 1717234504.782936, ""t_report"": 1717234494.7829368, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 82}""";mytopic;0;53;2024-06-01T11:35:04.782+02:00;0
;"{t_measurement"": 1717234504.7846525, ""t_report"": 1717234494.784653, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 4}""";mytopic;0;54;2024-06-01T11:35:04.784+02:00;0
;"{t_measurement"": 1717234514.7922232, ""t_report"": 1717234504.792224, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 70}""";mytopic;0;55;2024-06-01T11:35:14.792+02:00;0
;"{t_measurement"": 1717234514.796288, ""t_report"": 1717234504.7962887, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 7}""";mytopic;0;56;2024-06-01T11:35:14.796+02:00;0
;"{t_measurement"": 1717234524.8081262, ""t_report"": 1717234514.808127, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 50}""";mytopic;0;57;2024-06-01T11:35:24.808+02:00;0
;"{t_measurement"": 1717234524.8112776, ""t_report"": 1717234514.811278, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;58;2024-06-01T11:35:24.811+02:00;0
;"{t_measurement"": 1717234524.8132026, ""t_report"": 1717234514.8132029, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 82}""";mytopic;0;59;2024-06-01T11:35:24.813+02:00;0
;"{t_measurement"": 1717234524.8148508, ""t_report"": 1717234514.814851, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;60;2024-06-01T11:35:24.814+02:00;0
;"{t_measurement"": 1717234534.8256505, ""t_report"": 1717234524.8256516, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 20}""";mytopic;0;61;2024-06-01T11:35:34.825+02:00;0
;"{t_measurement"": 1717234544.832984, ""t_report"": 1717234534.832985, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;62;2024-06-01T11:35:44.833+02:00;0
;"{t_measurement"": 1717234544.836061, ""t_report"": 1717234534.8360612, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 86}""";mytopic;0;63;2024-06-01T11:35:44.836+02:00;0
;"{t_measurement"": 1717234564.852131, ""t_report"": 1717234554.8521316, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 67}""";mytopic;0;64;2024-06-01T11:36:04.852+02:00;0
;"{t_measurement"": 1717234564.8552628, ""t_report"": 1717234554.8552637, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 12}""";mytopic;0;65;2024-06-01T11:36:04.855+02:00;0
;"{t_measurement"": 1717234564.8570259, ""t_report"": 1717234554.857026, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 82}""";mytopic;0;66;2024-06-01T11:36:04.857+02:00;0
;"{t_measurement"": 1717234564.858471, ""t_report"": 1717234554.858471, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 9}""";mytopic;0;67;2024-06-01T11:36:04.858+02:00;0
;"{t_measurement"": 1717234574.8700535, ""t_report"": 1717234564.8700545, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 57}""";mytopic;0;68;2024-06-01T11:36:14.870+02:00;0
;"{t_measurement"": 1717234574.8736863, ""t_report"": 1717234564.8736868, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 11}""";mytopic;0;69;2024-06-01T11:36:14.873+02:00;0
;"{t_measurement"": 1717234574.8761547, ""t_report"": 1717234564.8761554, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 5}""";mytopic;0;70;2024-06-01T11:36:14.876+02:00;0
;"{t_measurement"": 1717234584.8892417, ""t_report"": 1717234574.8892424, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 19}""";mytopic;0;71;2024-06-01T11:36:24.889+02:00;0
;"{t_measurement"": 1717234584.89235, ""t_report"": 1717234574.8923507, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 3}""";mytopic;0;72;2024-06-01T11:36:24.892+02:00;0
;"{t_measurement"": 1717234594.8945208, ""t_report"": 1717234584.8945217, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 59}""";mytopic;0;73;2024-06-01T11:36:34.894+02:00;0
;"{t_measurement"": 1717234594.8976152, ""t_report"": 1717234584.897616, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 0}""";mytopic;0;74;2024-06-01T11:36:34.897+02:00;0
;"{t_measurement"": 1717234604.9097168, ""t_report"": 1717234594.909719, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 69}""";mytopic;0;75;2024-06-01T11:36:44.909+02:00;0
;"{t_measurement"": 1717234604.912649, ""t_report"": 1717234594.9126494, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 14}""";mytopic;0;76;2024-06-01T11:36:44.912+02:00;0
;"{t_measurement"": 1717234614.9161086, ""t_report"": 1717234604.9161096, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 19}""";mytopic;0;77;2024-06-01T11:36:54.916+02:00;0
;"{t_measurement"": 1717234614.9191203, ""t_report"": 1717234604.9191213, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 85}""";mytopic;0;78;2024-06-01T11:36:54.919+02:00;0
;"{t_measurement"": 1717234624.9314017, ""t_report"": 1717234614.9314024, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 85}""";mytopic;0;79;2024-06-01T11:37:04.931+02:00;0
;"{t_measurement"": 1717234634.9421177, ""t_report"": 1717234624.942119, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;80;2024-06-01T11:37:14.942+02:00;0
;"{t_measurement"": 1717234634.945592, ""t_report"": 1717234624.9455926, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 81}""";mytopic;0;81;2024-06-01T11:37:14.945+02:00;0
;"{t_measurement"": 1717234644.9576008, ""t_report"": 1717234634.9576015, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 70}""";mytopic;0;82;2024-06-01T11:37:24.957+02:00;0
;"{t_measurement"": 1717234644.9612703, ""t_report"": 1717234634.961271, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 84}""";mytopic;0;83;2024-06-01T11:37:24.961+02:00;0
;"{t_measurement"": 1717234644.9636905, ""t_report"": 1717234634.963691, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;84;2024-06-01T11:37:24.963+02:00;0
;"{t_measurement"": 1717234654.9757717, ""t_report"": 1717234644.9757724, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 16}""";mytopic;0;85;2024-06-01T11:37:34.975+02:00;0
;"{t_measurement"": 1717234654.9791386, ""t_report"": 1717234644.979139, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 5}""";mytopic;0;86;2024-06-01T11:37:34.979+02:00;0
;"{t_measurement"": 1717234664.9912205, ""t_report"": 1717234654.9912214, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 17}""";mytopic;0;87;2024-06-01T11:37:44.991+02:00;0
;"{t_measurement"": 1717234664.9940739, ""t_report"": 1717234654.9940743, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 85}""";mytopic;0;88;2024-06-01T11:37:44.994+02:00;0
;"{t_measurement"": 1717234675.0061414, ""t_report"": 1717234665.0061421, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 57}""";mytopic;0;89;2024-06-01T11:37:55.006+02:00;0
;"{t_measurement"": 1717234675.009461, ""t_report"": 1717234665.0094614, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;90;2024-06-01T11:37:55.009+02:00;0
;"{t_measurement"": 1717234675.0113878, ""t_report"": 1717234665.0113883, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 84}""";mytopic;0;91;2024-06-01T11:37:55.011+02:00;0
;"{t_measurement"": 1717234675.0128467, ""t_report"": 1717234665.0128472, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 2}""";mytopic;0;92;2024-06-01T11:37:55.012+02:00;0
;"{t_measurement"": 1717234685.0223036, ""t_report"": 1717234675.0223045, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 19}""";mytopic;0;93;2024-06-01T11:38:05.022+02:00;0
;"{t_measurement"": 1717234695.0351005, ""t_report"": 1717234685.0351014, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 57}""";mytopic;0;94;2024-06-01T11:38:15.035+02:00;0
;"{t_measurement"": 1717234695.038089, ""t_report"": 1717234685.0380898, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 90}""";mytopic;0;95;2024-06-01T11:38:15.038+02:00;0
;"{t_measurement"": 1717234695.040911, ""t_report"": 1717234685.0409122, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 3}""";mytopic;0;96;2024-06-01T11:38:15.040+02:00;0
;"{t_measurement"": 1717234705.0521364, ""t_report"": 1717234695.0521371, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 67}""";mytopic;0;97;2024-06-01T11:38:25.052+02:00;0
;"{t_measurement"": 1717234705.0549417, ""t_report"": 1717234695.0549421, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 12}""";mytopic;0;98;2024-06-01T11:38:25.054+02:00;0
;"{t_measurement"": 1717234705.0566432, ""t_report"": 1717234695.0566437, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 90}""";mytopic;0;99;2024-06-01T11:38:25.056+02:00;0
;"{t_measurement"": 1717234705.0587404, ""t_report"": 1717234695.058741, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 0}""";mytopic;0;100;2024-06-01T11:38:25.058+02:00;0
;"{t_measurement"": 1717234715.0706728, ""t_report"": 1717234705.0706737, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 59}""";mytopic;0;101;2024-06-01T11:38:35.070+02:00;0
;"{t_measurement"": 1717234715.0739405, ""t_report"": 1717234705.073941, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 89}""";mytopic;0;102;2024-06-01T11:38:35.073+02:00;0
;"{t_measurement"": 1717234715.0759864, ""t_report"": 1717234705.0759869, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 7}""";mytopic;0;103;2024-06-01T11:38:35.076+02:00;0
;"{t_measurement"": 1717234725.0878234, ""t_report"": 1717234715.0878243, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;104;2024-06-01T11:38:45.087+02:00;0
;"{t_measurement"": 1717234735.1009128, ""t_report"": 1717234725.1009138, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 61}""";mytopic;0;105;2024-06-01T11:38:55.100+02:00;0
;"{t_measurement"": 1717234735.1045423, ""t_report"": 1717234725.1045432, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 20}""";mytopic;0;106;2024-06-01T11:38:55.104+02:00;0
;"{t_measurement"": 1717234735.1066408, ""t_report"": 1717234725.1066418, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 89}""";mytopic;0;107;2024-06-01T11:38:55.106+02:00;0
;"{t_measurement"": 1717234745.118816, ""t_report"": 1717234735.1188169, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 66}""";mytopic;0;108;2024-06-01T11:39:05.118+02:00;0
;"{t_measurement"": 1717234745.1216538, ""t_report"": 1717234735.1216571, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 82}""";mytopic;0;109;2024-06-01T11:39:05.121+02:00;0
;"{t_measurement"": 1717234745.1238837, ""t_report"": 1717234735.1238844, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 8}""";mytopic;0;110;2024-06-01T11:39:05.123+02:00;0
;"{t_measurement"": 1717234765.1464982, ""t_report"": 1717234755.1464992, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 64}""";mytopic;0;111;2024-06-01T11:39:25.146+02:00;0
;"{t_measurement"": 1717234775.1526215, ""t_report"": 1717234765.1526232, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 58}""";mytopic;0;112;2024-06-01T11:39:35.152+02:00;0
;"{t_measurement"": 1717234775.155685, ""t_report"": 1717234765.1556854, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 17}""";mytopic;0;113;2024-06-01T11:39:35.155+02:00;0
;"{t_measurement"": 1717234775.1571774, ""t_report"": 1717234765.1571777, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 88}""";mytopic;0;114;2024-06-01T11:39:35.157+02:00;0
;"{t_measurement"": 1717234775.1585314, ""t_report"": 1717234765.158532, ""device_id"": ""device2"", ""signal_name"": ""energy import"", ""value"": 0}""";mytopic;0;115;2024-06-01T11:39:35.158+02:00;0
;"{t_measurement"": 1717234785.1698394, ""t_report"": 1717234775.1698403, ""device_id"": ""device1"", ""signal_name"": ""energy export"", ""value"": 61}""";mytopic;0;116;2024-06-01T11:39:45.169+02:00;0
;"{t_measurement"": 1717234785.1731772, ""t_report"": 1717234775.1731782, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 11}""";mytopic;0;117;2024-06-01T11:39:45.173+02:00;0
;"{t_measurement"": 1717234785.1755397, ""t_report"": 1717234775.1755404, ""device_id"": ""device2"", ""signal_name"": ""energy export"", ""value"": 82}""";mytopic;0;118;2024-06-01T11:39:45.175+02:00;0
;"{t_measurement"": 1717234795.1878452, ""t_report"": 1717234785.187846, ""device_id"": ""device1"", ""signal_name"": ""energy import"", ""value"": 10}""";mytopic;0;119;2024-06-01T11:39:55.187+02:00;0
