t_measurement,t_report,device_id,signal_name,value
1717233233.2512069,1717233223.2512076,device1,energy export,61.0
1717233234.3059897,1717233224.3059907,device2,energy import,10.0
1717233244.3198867,1717233234.3198920,device1,energy export,63.0
1717233244.3252048,1717233234.3252056,device1,energy import,13.0
1717233244.3286254,1717233234.3286262,device2,energy export,80.0
1717233264.3494859,1717233254.3494868,device1,energy export,70.0
1717233264.3540835,1717233254.3540845,device2,energy export,83.0
1717233264.3569520,1717233254.3569527,device2,energy import,0.0
1717233274.3701382,1717233264.3701398,device1,energy export,51.0
1717233274.3756337,1717233264.3756344,device1,energy import,20.0
1717234294.4419312,1717234284.4419317,device1,energy export,53.0
1717234294.4871128,1717234284.4871135,device2,energy export,86.0
1717234294.4896572,1717234284.4896576,device2,energy import,5.0
1717234304.5019307,1717234294.5019314,device1,energy import,18.0
1717234304.5053024,1717234294.5053031,device2,energy export,85.0
1717234304.5072790,1717234294.5072794,device2,energy import,4.0
1717234314.5151858,1717234304.5151873,device1,energy export,60.0
1717234314.5188222,1717234304.5188230,device2,energy export,83.0
1717234324.5309634,1717234314.5309641,device1,energy export,53.0
1717234324.5342472,1717234314.5342476,device2,energy import,0.0
1717234334.5465152,1717234324.5465162,device1,energy import,15.0
1717234334.5501840,1717234324.5501842,device2,energy import,3.0
1717234344.5622633,1717234334.5622647,device1,energy export,57.0
1717234374.5868587,1717234364.5868595,device1,energy export,52.0
1717234374.5893443,1717234364.5893447,device1,energy import,18.0
1717234384.6012323,1717234374.6012335,device1,energy export,55.0
1717234384.6049793,1717234374.6049798,device2,energy import,10.0
1717234394.6126997,1717234384.6127005,device2,energy import,6.0
1717234404.6226723,1717234394.6226735,device2,energy export,86.0
1717234404.6251826,1717234394.6251833,device2,energy import,2.0
1717234414.6369715,1717234404.6369722,device1,energy export,64.0
1717234414.6424294,1717234404.6424300,device1,energy import,17.0
1717234424.6552343,1717234414.6552350,device1,energy export,50.0
